OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Other Mental Health problems,Other,180,NULL,5.4,2.5,4.1,3.4,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Other recorded problems,NULL,125,NULL,5.1,2.6,3.8,3,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,720,NULL,5.4,2.7,4.8,4.4,0.2
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Total,All,NULL,104145,NULL,13.9,4.5,8.5,5.7,1.2
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Depression,NULL,47955,NULL,13.4,4.7,8.6,5.7,1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,48555,NULL,14.4,4.3,8.3,5.7,1.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,480,NULL,14.2,4.5,9.1,5.9,1.1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,23690,NULL,14.5,4,8,5.4,1.7
