ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2022,31/03/2023,8JX60,IDQ21,Long Term Condition Flag,3650,*,*,*,3650
01/04/2022,31/03/2023,8JX60,IDQ22,Care Activity Therapy Type,3365,*,*,1010,4375
01/04/2022,31/03/2023,8JX60,IDQ26,Adult Mental Health Care Cluster,250,*,*,795,1040
01/04/2022,31/03/2023,8JX60,IDQ31,Assessment of Initial Caseness,330,*,*,*,330
01/04/2022,31/03/2023,8JX60,IDQ32,Paired Score Completeness,325,*,*,*,330
01/04/2022,31/03/2023,8JX60,IDQ33,ADSM Completeness,*,*,*,*,330
01/04/2022,31/03/2023,8JX60,IDQ38,Validity of Treatment Questionnaire Date,95,*,*,*,95
01/04/2022,31/03/2023,8JX60,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),80,*,*,*,85
01/04/2022,31/03/2023,8JX60,IDQ40,Validity of Treatment Questionnaire Question 1 Score,80,*,*,*,80
01/04/2022,31/03/2023,8JX60,IDQ41,Validity of Treatment Questionnaire Question 2 Score,80,*,*,*,80
01/04/2022,31/03/2023,8JX60,IDQ42,Validity of Treatment Questionnaire Question 3 Score,80,*,*,*,80
01/04/2022,31/03/2023,8JX60,IDQ43,Validity of Treatment Questionnaire Question 4 Score,80,*,*,*,80
01/04/2022,31/03/2023,8JX60,IDQ44,Validity of Treatment Questionnaire Question 5 Score,80,*,*,*,80
01/04/2022,31/03/2023,8JX60,IDQ45,Validity of Treatment Questionnaire Question 6 Score,20,*,60,*,80
01/04/2022,31/03/2023,8JX60,IDQ46,Validity of All PEQ Treatment Fields,80,*,60,*,135
01/04/2022,31/03/2023,8JX60,IDQ47,Validity of Assessment Questionnaire Date,50,*,*,*,50
01/04/2022,31/03/2023,8JX60,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),30,*,5,*,35
01/04/2022,31/03/2023,8JX60,IDQ49,Validity of Assessment 1 Field,45,*,*,*,45
01/04/2022,31/03/2023,8JX60,IDQ50,Validity of Assessment 2 Field,45,*,*,*,45
01/04/2022,31/03/2023,8JX60,IDQ51,Validity of Assessment 3 Field,45,*,*,*,45
01/04/2022,31/03/2023,8JX60,IDQ52,Validity of Assessment 4 Field,40,*,*,*,40
01/04/2022,31/03/2023,8JX60,IDQ53,Validity of Satisfaction Question 1 Score,45,*,*,*,45
01/04/2022,31/03/2023,AJA,IDQ01,NHS Number Status,5600,*,*,*,5600
